Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Your team's CLAUDE.md file has grown to over 2,000 lines, containing coding standards, API conventions, testing guidelines, deployment procedures, and security policies. Developers report that Claude Code loads slowly and sometimes ignores relevant sections when the task context doesn't obviously match a section header. What's the most maintainable way to restructure this configuration?",multiple-choice, Use @import syntax in the root CLAUDE.md to reference separate files for each topic area in docs/standards/,Option A @import helps with organisation but all imported files still load at launch — it does not reduce context size or fix slow loading.,"Split into focused files inside .claude/rules/ and add path-scoped frontmatter to each file (e.g., paths: [""src/api/**""] on api-conventions.md)",Path-scoped rules in .claude/rules/ are only injected into context when Claude is working on files that match the glob pattern. This directly fixes both slow loading (smaller context per task) and ignored sections (only relevant rules are active).,"Create separate CLAUDE.md files in each subdirectory of the codebase, duplicating relevant sections where multiple areas need the same conventions",Option C creates maintenance burden through duplication and risks divergence when conventions change.,Move all conventions to user-level ~/.claude/CLAUDE.md so the project repository stays clean and developers can customize their own preferences,"Option D moves project-specific conventions to user-level configuration, which isn't version-controlled and won't be shared with teammates—the opposite of what team standards require.",,,,,2,,Claude Code Confi guration & Workfl ows
"Your developer productivity agent helps engineers explore unfamiliar codebases across multi-hour investigation sessions. After two hours of analysis, the agent correctly identified the authentication flow architecture but now gives contradictory answers about which service handles token refresh—sometimes citing AuthService, sometimes TokenManager. Earlier in the session, it definitively identified TokenManager as the handler after reading the source files. What's the most effective approach to prevent this inconsistency?",multiple-choice,"Have the agent keep a scratchpad of key findings (e.g. ""TokenManager handles token refresh - src/auth/TokenManager.ts:45"") and consult it before answering on previously explored components.","Scratchpad files provide persistent, authoritative storage for definitive findings that the agent can reference when context degradation causes uncertainty. By writing key discoveries to a file (e.g., ""TokenManager handles token refresh"") and consulting it before responding, the agent maintains consistency even as earlier conversation context becomes less accessible. This is the purpose-built pattern for extended sessions where attention quality degrades.",Increase the model's temperature setting to 0 to ensure deterministic responses that don't vary between queries.,"Option B misunderstands that temperature affects generation randomness, not memory—the agent's inconsistency stems from degraded access to earlier findings, not random sampling.","After each discovery, have the agent immediately summarize findings to the user so the information exists in the conversation history rather than relying on the agent's internal state.","Option C puts information in conversation history, which still suffers from lost-in-the-middle effects and context degradation.","Configure the agent to re-read all relevant source files before answering any question to ensure it has fresh, accurate information rather than relying on earlier analysis.",Option D wastes tokens on redundant file reads and doesn't scale—the agent can't re-read everything before every answer.,,,,,1,,Context Management & Reliability
"Your team maintains a monorepo with 15 packages, each with different maintainers and domain-specific conventions. The root CLAUDE.md contains universal standards, but each package needs additional context about its specific APIs, testing patterns, and architectural constraints. Package maintainers want to manage their own conventions without editing the shared root file. What's the most maintainable configuration approach?",multiple-choice,"Create a CLAUDE.md file in each package directory containing that package's specific conventions, which Claude Code will automatically merge with the root file based on the working directory",Option A would work for simple hierarchies but doesn't scale well when packages need to reference shared conventions or when the same file type spans multiple packages.,"Use @import in the root CLAUDE.md to include all 15 package-specific files unconditionally, ensuring every convention is always available regardless of which package a developer is working in","Option B loads all conventions for every task, consuming unnecessary tokens and potentially causing confusion.","Have each package maintainer add their conventions to the root CLAUDE.md under clearly labeled sections, using headers like ""## Package: auth-service"" to organize","Option C creates a maintenance bottleneck where all maintainers must edit the same file, risking merge conflicts and accidental changes to other packages' sections.","Create .claude/rules/ files with YAML frontmatter paths targeting each package (e.g., paths: [""packages/auth-service/**/*""]), so package-specific conventions load only when editing files in that package","Option D correctly uses path-scoped rules in .claude/rules/ with glob patterns to load package-specific conventions only when editing files within that package. This keeps conventions modular, avoids loading irrelevant context, and allows package maintainers to manage their own rule files independently.",,,,,4,,Claude Code Confi guration & Workfl ows
"Your codebase has JavaScript files in src/ that follow camelCase naming, Python scripts in scripts/ that follow snake_case, and test files spread throughout the codebase (e.g., Button.test.tsx next to Button.tsx, utils.test.py next to utils.py). You want Claude Code to automatically apply the correct naming conventions when generating or modifying code, without requiring developers to manually specify which conventions apply. What's the most maintainable configuration approach?",multiple-choice,"Create a single comprehensive CLAUDE.md at the project root with sections for each language, relying on Claude to infer the correct section based on file extension","Option A relies on inference rather than explicit matching, making convention application unreliable.","Place a separate CLAUDE.md file in src/ for JavaScript conventions and another in scripts/ for Python conventions, with test conventions duplicated in both",Option B requires duplicating test conventions and can't handle test files spread across directories.,Create .claude/skills/ with separate skills for each language that developers invoke manually when working in different parts of the codebase,"Option C requires manual skill invocation, contradicting the requirement for automatic convention application without developer intervention.","Create .claude/rules/ files with YAML paths: frontmatter targeting each file pattern — JS/TSX, Python, and test files separately","Option D correctly uses .claude/rules/ with glob patterns in YAML frontmatter to automatically apply conventions based on file paths. The paths: [""**/*.test.*""] pattern applies test conventions to test files regardless of their directory location—essential when tests are co-located with source files throughout the codebase.",,,,,4,,Claude Code Confi guration & Workfl ows
"Your codebase uses TypeScript with strict ESLint rules. When Claude Code generates new components, it frequently produces code that fails linting with 5-10 violations per file (missing semicolons, incorrect import ordering, unused variables). You've added ESLint rules to CLAUDE.md, but violations continue. What's the most effective iterative refinement approach?",multiple-choice,"Provide 2-3 concrete before/after examples showing code that violates ESLint rules and the corrected version, then ask Claude to generate the component",Option A (input/output examples) is useful for ambiguous transformations but less effective than automated tests for rule compliance.,"Write a test suite that runs ESLint on generated code, share the specific violations with line numbers, and iterate until all checks pass","Option B applies test-driven iteration—the most effective refinement technique when the success criteria (ESLint compliance) is objectively measurable. Sharing specific test failures guides progressive improvement with deterministic feedback, whereas examples rely on probabilistic pattern matching.","Use the interview pattern by asking Claude what ESLint violations it anticipates before generating code, then implement based on its analysis",Option C (interview pattern) is valuable for surfacing design considerations but doesn't drive iterative improvement as effectively as test failures.,"Add a .claude/skills/ skill with context: fork that generates code in isolation, reviews it against ESLint rules, then returns only compliant code","Option D overcomplicates the solution—skills with context: fork are for isolating verbose output, not for simple linting fixes.",,,,,2,,Claude Code Confi guration & Workfl ows
"You're building an Agent SDK coordinator that drives Claude to perform multi-step refactors. The coordinator inspects stop_reason after every agent turn to decide what to do next. Telemetry shows most runs end cleanly with stop_reason=""end_turn"", but 8% of runs end with stop_reason=""tool_use"" on the last turn because the coordinator's max_turns limit was reached before the agent's pending tool call could execute. Your current handler treats these identically to ""end_turn"" and marks the refactor as complete. What is the correct architectural fix?",multiple-choice,"Treat stop_reason=""tool_use"" at max_turns as an incomplete run, either retry with a higher max_turns or escalate to human review — never mark it as complete","The agentic loop's stop_reason is the authoritative signal for whether the agent finished (""end_turn"") or was cut off mid-task (""tool_use"" at the turn boundary means a tool call was queued but not executed). Treating these as equivalent silently corrupts the run's completion metric and lets half-refactored code ship.","Increase max_turns globally so tool_use at the boundary becomes rare, then treat every stop_reason as equivalent since the agent was clearly working","Option B masks the symptom rather than fixing the classification — tool_use at max_turns still means ""cut off,"" not ""done.""","Add a PostToolUse hook that forces the agent to emit a final summary message before the turn limit, converting tool_use into end_turn","Option C is architecturally wrong: hooks fire around tool execution, not at stop_reason boundaries, and forcing a summary doesn't complete the pending tool call.","Switch to a streaming architecture where the coordinator executes tool calls inline, so max_turns no longer bounds the agentic loop",Option D changes architectures without addressing the core issue — any bounded agentic loop still needs correct stop_reason semantics.,,,,,1,,Agentic Architecture & Orchestration
"A new team member reports that Claude Code isn't applying the team's API naming conventions (camelCase for JSON fields, snake_case for database columns) when generating code, even though these conventions are documented. Other team members don't have this issue. When you check the new team member's environment, you see they previously worked on a different project with different conventions. What's the most likely root cause?",multiple-choice,A user-level ~/.claude/CLAUDE.md carried over from their previous project is overriding the team's project-level conventions — affecting only that user's sessions.,"Per Task 3.1 of the exam guide, user-level settings in ~/.claude/CLAUDE.md apply only to that user and are not shared via version control. Claude Code loads the user-level file alongside project-level instructions, so conflicting conventions carried over from a previous project get applied to every session for that user—matching the observation that only the new team member is affected. The /memory command can be used to verify which user-level files are being loaded.",The project CLAUDE.md is in .claude/CLAUDE.md but the new team member's IDE is looking for a root-level CLAUDE.md file,Option B is incorrect because Claude Code checks both .claude/CLAUDE.md and root CLAUDE.md—both are valid project-level locations.,"The team is using .claude/rules/ with glob patterns for API vs database files, but the new team member hasn't run git pull to fetch these files","Option C is possible but less likely—the issue states ""other team members don't have this issue,"" suggesting a user-specific configuration problem rather than missing project files.","The /memory command shows different memory files are loaded for the new team member, indicating a configuration sync issue","Option D describes a diagnostic tool output, not a root cause.",,,,,1,,Claude Code Confi guration & Workfl ows
"You're designing a coordinator agent that orchestrates complex code-generation tasks. For a security fix, the coordinator needs to understand how the authentication system integrates with the session management module — a task that requires reading dozens of files and tracing function calls across multiple layers. Running this exploration in the coordinator's own agentic loop would consume the context budget the coordinator needs for synthesis and code generation. What is the correct multi-agent architectural decomposition?",multiple-choice,"Keep exploration in the coordinator's loop but add plan mode to structure the note-taking, so the coordinator can retrieve architectural facts from its own outputs later","Option A keeps all exploration tool calls in the coordinator's loop, so the context is consumed regardless of how the notes are organized.",Delegate exploration to an Explore subagent with a specific integration-focused question; the subagent runs its own bounded agentic loop and returns a compact summary to the coordinator,"This is the canonical coordinator–subagent pattern: task decomposition by offloading a high-token sub-task to an Explore subagent that runs its own independent agentic loop, returning only a summary to the coordinator. The coordinator's context stays reserved for the work that genuinely requires its accumulated reasoning (synthesis, code generation).",Keep exploration in the coordinator's loop and compact its context periodically with /compact as the transcript grows,"Option C is a reactive context-management mechanism inside a single loop, not a subagent architecture, and the initial token cost is paid before /compact can help.",Keep exploration in the coordinator's loop but configure a context: fork skill so the same session runs exploration in an isolated frame,Option D fork-isolates within skill invocation rather than spawning a true subagent — the built-in Explore subagent is the purpose-designed primitive for a bounded sub-loop.,,,,,2,,Agentic Architecture & Orchestration
"You're using Claude Code to help developers understand a complex legacy codebase. Developers frequently ask questions like ""how does the payment flow work?"" but Claude's responses are inconsistent—sometimes it traces the complete flow across 8 files, other times it stops after reading 2-3 files and provides an incomplete answer. Logs show Claude is reading different files each time for the same question. What's the most effective way to improve response consistency?",multiple-choice,"Add documentation to CLAUDE.md describing the payment flow architecture, including the key files and their relationships, so Claude has a reliable reference","Option A correctly addresses the root cause: Claude lacks reliable context about which files are relevant to the payment flow. Documenting the architecture in CLAUDE.md provides consistent, always-available reference information that eliminates the variability in file discovery. This is the standard solution for frequently-asked questions about codebase architecture.",Create a .claude/skills/trace-payment-flow/ skill that hardcodes the specific file reading sequence for the payment flow,Option B is too rigid—hardcoding file sequences creates maintenance burden when code moves and doesn't help with other flows.,Use the interview pattern to have Claude ask clarifying questions about which aspect of the payment flow developers want to understand before tracing,Option C adds friction without solving the inconsistency; clarifying questions help with ambiguous requests but the payment flow question is already specific.,"Instruct developers to always start with ""use Grep to find all files containing 'payment'"" before asking flow-related questions",Option D shifts burden to developers and doesn't guarantee consistent results since Grep results depend on code patterns that may vary.,,,,,1,,Claude Code Confi guration & Workfl ows
"Your agent orchestration layer drives Claude Code through a two-phase workflow: a shared analysis phase that builds codebase understanding, followed by a prototyping phase that explores two divergent state-management architectures (React Context with reducers vs. a third-party library). You want the prototyping phase to run as two independent agentic loops that both inherit the analysis-phase context, without either branch contaminating the other's tool-call history. Which session-state primitive is the correct fit?",multiple-choice,"Run the analysis phase once, snapshot the transcript to a file, then start two fresh agent sessions that each load the snapshot as an initial message before prototyping",Option A loses session state — fresh sessions can't truly inherit an in-flight agentic context from a text dump.,"Run the analysis phase, then serialize the workspace with git stash and restart the agent twice — once per prototype — restoring the stash before each restart",Option B confuses filesystem state (git stash) with agent session state; stashing doesn't preserve the agent's message history or tool-result cache.,"Run the analysis phase in a parent session, fork_session twice — each child inherits the full context and runs its prototyping loop in isolation.","fork_session is the purpose-built session-state primitive for branching one agentic loop into multiple independent children that share pre-fork state but diverge thereafter. The inherited analysis-phase context means each child doesn't re-derive codebase understanding, while the independent post-fork histories prevent cross-contamination of tool calls and reasoning between prototypes.","Run a single long-lived session that implements both prototypes sequentially, relying on /compact between prototypes to keep the context manageable","Option D runs both prototypes inside one loop, where reasoning about prototype A inevitably leaks into prototype B's tool calls, which is exactly what fork_session prevents.",,,,,3,,Agentic Architecture & Orchestration
"You need to create an /analyze-dependencies skill that performs deep dependency analysis, reading dozens of package files, tracing import chains, and generating a comprehensive report. This analysis produces verbose output that clutters the main conversation, and you want developers to be able to continue their work without the analysis details polluting the context. The skill should be shared with the entire team via version control. What's the correct skill configuration?",multiple-choice,Create the skill in .claude/skills/analyze-dependencies/ with SKILL.md and instruct developers to use /compact after each invocation to manage context manually,"Option A relies on manual /compact invocation as a reactive workaround rather than proactively isolating the verbose output, which is error-prone and doesn't prevent context degradation during execution.",Create the skill in .claude/commands/analyze-dependencies.md since commands are the correct mechanism for team-shared operations invoked with a slash,"Option B confuses commands with skills—commands are for simple slash-invoked operations, while skills support frontmatter configuration like context: fork that's essential for this use case.",Create the skill in .claude/skills/analyze-dependencies/ with SKILL.md containing context: fork in the frontmatter to run the analysis in an isolated sub-agent context,"Option C correctly uses context: fork in the skill's SKILL.md frontmatter to run the analysis in an isolated sub-agent context, and places it in the project-scoped .claude/skills/ directory for team sharing via version control. This prevents the verbose exploration output from polluting the main conversation—exactly what's needed when analysis produces extensive output that would degrade the main session's context quality.","Create the skill in .claude/skills/analyze-dependencies/ with SKILL.md containing allowed-tools: [""Read"", ""Glob""] to limit which tools the analysis can use",Option D uses allowed-tools which restricts tool access but doesn't address context isolation—the verbose output would still accumulate in the main conversation.,,,,,3,,Claude Code Confi guration & Workfl ows
"Your multi-agent research system coordinator spawns three subagents in parallel for a query about ""renewable energy adoption trends."" The web search agent completes in 8 seconds, but the document analysis agent times out after 45 seconds while processing a large PDF. The synthesis agent receives only the web search results. When you examine logs, you see the coordinator passed all findings to synthesis before the document analysis agent completed. What architectural issue caused this premature synthesis?",multiple-choice,"The coordinator should use tool_choice: ""any"" to force sequential subagent execution rather than parallel spawning",Option A misunderstands tool_choice and would break parallelism.,"The coordinator spawned parallel subagents but didn't wait for all Task tool results before invoking synthesis, treating the timeout as completion",The coordinator spawned multiple Task calls in parallel (correct pattern) but failed to handle the asynchronous nature of subagent completion. It invoked synthesis with only completed results rather than waiting for all subagents or handling the timeout with structured error context.,The synthesis agent lacks a verify_fact tool to handle missing document analysis data autonomously,Option C addresses a different optimization (reducing round-trips for verification).,The document analysis agent should implement local retry logic and return partial results rather than timing out,"Option D is a good practice but doesn't fix the coordinator's premature delegation to synthesis—even with partial results, the coordinator must receive and process them before moving forward.",,,,,2,,Agentic Architecture & Orchestration
