Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Your team maintains a monorepo with three packages: `frontend/`, `backend/`, and `mobile/`. Each package has its own `CLAUDE.md` covering package-specific conventions, but the company's universal standards — security practices, commit message format, and documentation requirements — must apply everywhere. The team first consolidated every convention into the root `CLAUDE.md`, but as it grew past 800 lines Claude began misapplying package-specific sections when editing unrelated packages. The team then reverted to duplicating the universal standards across all three package `CLAUDE.md` files, and this duplication has already drifted out of sync twice. Based on these two failures, the team has agreed to use `@import` from each package's `CLAUDE.md`. The remaining question is where the imported target file should live. Which organization best addresses the team's situation?",multiple-choice,Keep the universal standards consolidated in the root `CLAUDE.md` and have each package's `CLAUDE.md` `@import` the root file so the imports become explicit while the existing content stays in place.,`@imports` the root `CLAUDE.md` — the same file that already grew past reliable inference limits — inlining its entire contents into each package's context and reproducing the exact size problem the team explicitly moved away from.,Place the universal standards in a single `.claude/standards.md` file and `@import` that file from each package's `CLAUDE.md`.,"A single `.claude/standards.md` imported by each package's `CLAUDE.md` is both version-controlled (one canonical file under the project) and focused only on universal content, so updates propagate to all three packages without the drift that has already happened twice and the imported file stays small enough that no package reintroduces the size-driven inference failure.",Keep a `standards.md` copy inside each package directory and `@import` it from that package's `CLAUDE.md` so each package owns its copy of the standards it imports.,"keeps three separate copies of `standards.md`, one per package, which is the same manual-synchronization duplication that has already drifted twice; the `@import` indirection does not change the fact that three copies must be kept in lockstep.",Place the universal standards in `~/.claude/standards.md` on each developer's workstation and `@import` that user-level file from each package's `CLAUDE.md`.,"points `@import` at a user-level file (`~/.claude/standards.md`) that lives on one developer's machine and is not version-controlled, so teammates who clone the repo would hit broken imports.",,,,,2,,Claude Code Configuration & Workflows
"Your platform team has an ironclad rule: no Claude Code session — interactive or CI — may run `rm -rf`, `git push --force`, or any `kubectl … --context production …` command. The team already added a ""Forbidden commands"" section to the root `CLAUDE.md` listing these patterns, but last week an engineer's session still ran `git push --force origin main` after Claude misread a nuanced instruction. The platform lead wants a mechanism that deterministically prevents execution of these patterns, is shared via the repo so every clone inherits it, and surfaces a clear reason to the model so it can recover gracefully on the same turn. What configuration best satisfies all three requirements?",multiple-choice,"Expand the ""Forbidden commands"" list in `CLAUDE.md` with stronger wording (""NEVER RUN, UNDER ANY CIRCUMSTANCES…"") and add it to the user-level `~/.claude/CLAUDE.md` so it is always loaded.","Incorrect. CLAUDE.md is model-read context, not an enforcement layer — stronger wording raises compliance probability but cannot deterministically prevent execution. The team has already seen this approach fail in practice. Additionally, ~/.claude/CLAUDE.md is a personal user-level file, not committed to the repo, so it cannot satisfy the shared-via-repo requirement and will not apply consistently across engineer machines or headless CI runs.","Configure a `PreToolUse` hook in `.claude/settings.json` that matches Bash calls, checks the `command` against a forbidden-pattern regex, and returns a deny decision (or exit code 2) when it matches.","Correct. PreToolUse hooks fire before the command executes, making prevention deterministic rather than probabilistic. Placing the hook in .claude/settings.json (not settings.local.json) means it is committed to the repo and inherited by every clone and CI runner. Returning exit code 2 with a reason on stderr produces the structured deny signal Claude Code expects, allowing the model to read the reason and recover gracefully within the same turn — satisfying all three stated requirements.","Add a `PostToolUse` hook that detects the forbidden patterns after execution and runs a compensating command (e.g., `git push` to restore the remote) to undo the damage.","Incorrect. PostToolUse hooks fire after the command has already executed, meaning the destructive action — a force push overwriting remote history, or a production kubectl mutation — has already taken effect. Compensating commands cannot reliably undo all categories of damage (remote git history rewrite, dropped Kubernetes resources). This approach fails the deterministic prevention requirement by design.",Remove `Bash` from `allowedTools` in the project settings so Claude Code can never invoke a shell command in this repo.,"Incorrect. Removing Bash from allowedTools is an all-or-nothing restriction that eliminates legitimate shell usage the team depends on — builds, tests, linting, deployments to non-production environments. The requirement is to block specific forbidden patterns, not all Bash access. This satisfies determinism but at the cost of breaking valid workflows, making it disproportionate and impractical.",,,,,2,,Claude Code Configuration & Workflows
"A developer spent 90 minutes yesterday in a Claude Code session tracing a performance regression. Over those 90 minutes they ran 40 profiling commands in a specific order that progressively narrowed the suspected root cause from the ORM layer, to the connection pool, and finally to a specific caching layer — each narrowing step justified by comparing numeric output from one command against patterns in the previous 5–6 commands. They closed their laptop before making any fixes. Today they want to continue from exactly the inference state they ended on, not just the final conclusion: a written summary saying ""we suspect the caching layer"" would force them to re-run the comparative profiling to re-derive which alternatives were already eliminated and why. Which mechanism is designed for this?",multiple-choice,Use `fork_session` from yesterday's session to branch a new exploration that inherits yesterday's context as a baseline.,(`fork_session`) branches a currently-live session into parallel independent explorations from a shared baseline; it is not the primitive for reopening a session that was closed yesterday.,Run `/compact` as the first command today to pull yesterday's history back into the current session with reduced size.,(`/compact`) operates on the currently active session's in-memory context — it cannot reach into a closed session from the previous day and it compresses context rather than reloading it.,Start a fresh Claude Code session and paste a written summary of yesterday's findings as the opening message to re-establish context.,"is the scenario's explicit failure case: a written summary captures the final suspicion but discards the comparative reasoning across the 40 commands, forcing the developer to re-derive which alternatives were already eliminated — which is exactly the work `--resume` preserves losslessly.",Invoke Claude Code with `--resume` and the session identifier to reload yesterday's session state and continue from that point.,"`--resume` is the documented mechanism for reattaching to a previously saved session — it reloads the prior conversation history and tool state so the specific 40-command narrowing chain, and the numeric comparisons that justified each elimination, remain in context rather than just the final conclusion.",,,,,4,,Claude Code Configuration & Workflows
"A team lead placed the team's shared error-handling conventions in `.claude/standards.md` and `@imports` that file from the root `CLAUDE.md`. A newly onboarded engineer reports that Claude Code applies the naming and commit-message conventions (written directly in the root `CLAUDE.md`) but seems to be ignoring the error-handling section (reachable only through the `@import`). The team lead has already opened every `CLAUDE.md` and `standards.md` file from disk and confirmed the text and the `@import` directive are written correctly in all of them — so the source content is not the issue. The remaining hypothesis is that the `@import` is silently failing to resolve at session load while the directly-written sections load fine, and disk inspection cannot show what Claude Code actually loaded into the session. Which command provides that information?",multiple-choice,"Run `/memory` to display the list of memory files currently loaded into the session, including any files pulled in via `@import` chains.","`/memory` opens the loaded memory files (CLAUDE.md, CLAUDE.local.md, and any `@import` references) in the editor — it is the documented Claude Code mechanism for confirming what is actually loaded into the session, including whether the `@import` to `.claude/standards.md` resolved or was silently dropped.",Run `/compact` to clear and reload the memory files so any stale versions are replaced with fresh reads from disk.,(`/compact`) reduces accumulated conversation context; it is not a memory-reload primitive and does not report which files are loaded.,Invoke `--resume` on the session so Claude Code reinitializes its memory loading sequence and surfaces any failed imports.,(`--resume`) reattaches to a prior session by restoring its saved state — it does not re-run memory resolution or expose the loaded-file list.,"Repeat the on-disk inspection with `grep -R ""@import"" .claude/ CLAUDE.md` to confirm the `@import` directive is present and correctly written in every file.","repeats the on-disk inspection the team lead already performed and explicitly rejected as insufficient: disk contents show what is written, not what Claude Code's session actually resolved and loaded, which is the precise symptom being diagnosed.",,,,,1,,Claude Code Configuration & Workflows
"Your team built a skill at `.claude/skills/migrate-schema.md` that converts database schema files from one version to another. The SKILL.md has `allowed-tools: [Read, Write]` and a detailed migration prompt, but no other frontmatter. Developers repeatedly invoke `/migrate-schema` without specifying which target schema version to migrate to, causing the skill to make incorrect assumptions and produce schema files that fail validation. Asking developers to ""remember to include the version"" has not worked. What frontmatter addition best surfaces the parameter requirement to developers?",multiple-choice,"Add `context: fork` so the skill runs in isolation, limiting the blast radius of an incorrectly generated schema to the fork rather than the main session.",(`context: fork`) runs the skill in isolation to prevent context pollution — it limits damage from a bad migration but does not prevent the invocation-without-parameters problem; the skill still runs with incorrect assumptions.,Move the version logic into the root CLAUDE.md as a required parameter description so it is always loaded into every session.,"puts invocation parameter guidance in the always-loaded CLAUDE.md, which is meant for universal project conventions and standards — loading parameter guidance for a specific skill into CLAUDE.md adds noise to every session, not just when the skill is in use.","Add `argument-hint: ""required: target schema version (e.g., v2, v3)""` to prompt developers for the required parameter when they invoke the skill without arguments.","`argument-hint` is an advisory autocomplete hint shown alongside the skill's invocation surface — it surfaces the expected parameter shape at the point developers type the command, which is the closest mechanism among the four for steering developers to supply the target version, even though it is advisory rather than a hard validator and does not block an argument-less invocation outright.","Add `allowed-tools: [Read, Write, Bash]` so the skill can inspect existing schema files and infer the current version automatically.","expands tool access to attempt auto-detection of the version, but this adds brittle inference logic; a `v2` schema file doesn't always contain its own version metadata, and auto-detection cannot substitute for explicit developer intent when multiple target versions exist.",,,,,3,,Claude Code Configuration & Workflows
"A developer has written a personal slash command `/my-triage-bundle` that gathers their own workflow diagnostics — their shell aliases, their IDE config snapshot, and their active feature-branch list — into a single report for their own debugging use. They use the command across every repository they work in, regardless of team or project. The command must be available whenever the developer launches Claude Code, and it must NOT appear in teammates' sessions when teammates clone any shared repository the developer has contributed to. Where should the command file live?",multiple-choice,"In the `.claude/commands/` directory at the root of each repository the developer works in, so the command is available everywhere they work.","places the command in `.claude/commands/`, which is project-scoped and gets committed to the repository — teammates cloning any of those repos would receive the command, violating the """"must not appear in teammates' sessions"""" requirement.",In `~/.claude/commands/` on the developer's machine.,Personal slash commands that should be available to one developer across all repositories and must not be shared with teammates belong in `~/.claude/commands/` — the user-scope command location that is tied to the developer's machine and never checked into any project.,In the user-level `CLAUDE.md` file with the command body inlined under a `## Commands` header so it loads automatically with user memory.,"misuses CLAUDE.md, which is for project and user instructions/context, not for defining custom slash commands; there is no `## Commands` inlining mechanism that registers invocable commands.",In a `.claude/skills/` directory with a SKILL.md declaring a `personal-scope: true` frontmatter key so the skill is excluded from version control.,"confuses skills with commands — skills and slash commands are distinct mechanisms with different invocation paths, and there is no `personal-scope` frontmatter key; a skill placed inside a repository's `.claude/` directory is version-controlled just like commands there.",,,,,2,,Claude Code Configuration & Workflows
"Your team uses Claude to automate migration of legacy Python 2 date-formatting strings to Python 3 `datetime` library calls. Despite detailed prose instructions — ""convert strftime-style format strings to datetime.strftime() calls, treating timezone-aware datetimes as naive UTC and preserving microsecond precision"" — Claude produces inconsistent output: sometimes emitting `pytz.utc.localize()`, sometimes `datetime.timezone.utc`, and occasionally stripping microseconds entirely. You have revised the prose instructions twice without resolving the inconsistency. What technique should you apply next?",multiple-choice,Require Claude to output a confidence score alongside each migration so low-confidence conversions can be flagged for manual review of the potentially ambiguous cases.,(confidence scoring) flags uncertainty after the fact but does not teach Claude the correct behavior — the same inconsistent logic would produce the same inconsistent outputs with confidence numbers attached.,Use plan mode so Claude maps all date-formatting patterns across the codebase before committing to a consistent conversion approach for every affected file.,"(plan mode) is appropriate for complex tasks involving large-scale architectural decisions with multiple valid approaches, not for resolving a well-defined transformation that has a single correct output; this is an interpretation problem, not an exploration problem.","Switch to a stronger model tier, since the inconsistency suggests the current model lacks sufficient instruction-following capability for these complex formatting rules and edge cases.","(model tier) is the wrong lever — the inconsistency is caused by an ambiguous specification, not model capability; a stronger model interpreting an ambiguous prompt will still produce variable output.","Provide concrete input/output example pairs alongside the prose instructions, demonstrating the expected transformation on representative cases.","Concrete input/output examples are the most effective technique when prose descriptions produce inconsistent results — they demonstrate exactly what the expected transformation looks like, eliminating interpretive ambiguity around timezone handling and microsecond preservation. Two refined attempts at prose instructions have already failed, indicating the problem is specification ambiguity, not instruction length.",,,,,4,,Prompt Engineering & Structured Output
"A developer asks Claude: ""Add a caching layer to the user profile service."" Claude immediately begins implementing an in-memory LRU cache without asking any questions. When deployed, the cache causes three production incidents: stale profile data persists for five minutes after account deletions because no invalidation strategy was defined; the cache is per-process and incompatible with the service's three-instance deployment; and the TTL violates a regulatory requirement for immediate profile updates. None of these constraints were discoverable from the codebase — the three-instance topology lives in the SRE team's deployment manifests outside the service repo, the regulatory requirement exists only in a compliance policy document, and the invalidation strategy had never been discussed or written down at all. The developer had not personally considered any of these constraints before making the request. What technique should have been applied before Claude began implementing?",multiple-choice,"Direct execution with a richer initial prompt that lists cache type, eviction policy, TTL, and deployment topology requirements.","assumes the developer already knows every constraint to specify upfront, which the scenario disproves; the developer had not considered these dimensions at all.","Plan mode, so Claude could explore the user profile service codebase, map the existing data-access patterns, and propose a code-level caching implementation plan for review before writing code.","(plan mode) has Claude explore the existing codebase before committing to changes — useful when the relevant information lives in the code, but here none of the three failure drivers were in the repo; plan mode would have produced a thorough plan against the wrong set of requirements.","The interview pattern — having Claude ask clarifying questions about cache invalidation strategy, deployment topology, and compliance requirements before writing any code.","The interview pattern directs Claude to ask the developer clarifying questions — the only mechanism in the scenario that can surface information living outside the codebase (deployment topology in SRE manifests, compliance requirements in policy documents, invalidation semantics that had never been written down). This is the correct technique when a request is underspecified and the relevant constraints are in stakeholders' heads rather than in the code.","Test-driven iteration — writing behavioral tests for the cache first, then implementing to pass them so that missing behaviors surface as test failures.","(test-driven iteration) requires knowing the required behavior before you can write tests — with the invalidation, distribution, and compliance constraints unrecognized, the test suite would be missing exactly the cases that caused the incidents.",,,,,3,,Prompt Engineering & Structured Output
"After nearly two hours debugging a complex authentication middleware, your Claude Code session has accumulated verbose stack traces, repeated file reads of five core modules, error log dumps, and lengthy back-and-forth diagnostic exchanges totaling roughly 12,000 tokens. You notice a clear change in behavior: Claude is now describing issues in terms of ""standard JWT validation approaches"" and ""typical session handling patterns"" rather than referencing the specific `TokenValidator`, `ClaimsCache`, and `SessionStateManager` classes it examined at the start of the session. Suggested file edits are also becoming less precise. What is the most appropriate immediate response?",multiple-choice,Open a new Claude Code session and summarize the two hours of debugging findings in a structured opening message before continuing.,"starts a new session, discarding the full two-hour investigation context including the precise sequence of diagnostic steps — this is appropriate when prior tool results are fully stale, not when the session is actively productive and needs only context relief.","Run `/compact` to reduce conversation context while preserving key findings, then continue debugging in the current session.","`/compact` is designed for exactly this situation — it compresses the accumulated conversation history during extended exploration sessions, reducing context usage while preserving the key findings and investigative thread. The symptoms described (referencing """"typical patterns"""" instead of specific class names) are the canonical signal of context degradation due to accumulated verbose output.","Write all current diagnostic findings to a scratchpad file and switch to a new session, injecting the scratchpad as context.","provides a similar fresh-start approach but adds extraction overhead, and risks incompletely capturing the diagnostic chain.",Run `--resume` with the session name to reload the original session state from when the debugging began.,"(`--resume`) is for continuing a previously named session that has ended, not for compressing a currently active session — it would not affect an in-progress session's context size.",,,,,2,,Context Management & Reliability
"After an automated review of a PR touching the authentication module, Claude flags three issues: (1) a missing null check on `user.sessionToken` causing a NullPointerException in production, (2) the session timeout calculation mixing Unix seconds with millisecond values producing incorrect durations, and (3) the token refresh function calling `user.sessionToken` without checking for null — the same case fixed by issue 1. You want Claude to implement all three fixes. How should you structure your follow-up request?",multiple-choice,"Send all three issues in a single message with the interaction between issues 1 and 3 explicitly noted, so Claude can reason about both null checks together when implementing the token refresh fix.","When issues interact — specifically when the fix for one changes the code state that another fix depends on — grouping them in a single message lets Claude reason about both null-check sites together and choose consistent placement. Issues 1 and 3 are directly coupled: the token refresh function's correct implementation depends on whether the null check is added at the function boundary (issue 1) or inside the refresh function itself, and these choices should be coordinated.","Send the issues one at a time — null check first, then timestamp calculation, then token refresh — waiting for each fix to be confirmed before requesting the next to avoid conflicting edits.","is workable — Claude Code maintains conversational context across turns and will see the fix from issue 1 before addressing issue 3 — but it is less efficient than A, takes an extra round-trip, and loses the chance to co-design the two null checks in one pass.","Ask Claude to write a test suite covering all three failure cases first, then implement fixes in the order that makes the most tests pass.","is a valid methodology for new feature work, but here the bugs are already well-described — adding a test-scaffolding round-trip introduces latency without surfacing additional design information that isn't already captured in the review.",Send each issue in its own separate message to keep each fix's review focused and avoid entangling unrelated bug reports with one another.,"splits coupled fixes into separate messages, fragmenting the coupling signal across turns; even though Claude Code preserves session context, the dependency between issues 1 and 3 is obscured rather than surfaced as a single co-designed decision about where to place the `user.sessionToken` null check.",,,,,1,,Prompt Engineering & Structured Output
"Your coordinator agent is configured with AgentDefinition entries for four specialized subagents: web_search, document_analysis, synthesis, and report_generator. After deploying to production you observe the coordinator never delegates — it completes all research using only its own built-in web_search tool, producing shallow 3-paragraph summaries instead of the comprehensive cited reports expected. Logs show stop_reason alternating between ""tool_use"" (invoking web_search) and ""end_turn"", but no Task calls appear anywhere in the trace. What is the most likely cause?",multiple-choice,"The coordinator's system prompt does not explicitly list the names of the available subagents, so the model is unaware they exist.","is incorrect: the coordinator's reasoning about when to delegate is driven by system prompt instructions, but those instructions are irrelevant if the Task tool is not present in allowedTools — the absence of Task calls in logs points to the tool being unavailable, not unknown.","The coordinator's allowedTools configuration does not include ""Task"", so the Task tool for spawning subagents is unavailable to it.","The Task tool is the mechanism for spawning subagents in the Claude Agent SDK, and allowedTools must explicitly include """"Task"""" for a coordinator to invoke any subagent. Without """"Task"""" in allowedTools the coordinator has no delegation mechanism, explaining the web_search-only behavior and the complete absence of Task calls in logs.",The subagent AgentDefinitions specify tool restrictions that prevent the coordinator from receiving their output payloads.,"confuses subagent tool restrictions (which govern what subagents can call, not what results the coordinator receives) with coordinator capability.","The coordinator's context window is exhausted by the research topic, leaving insufficient tokens for Task call construction.","is implausible as the cause of zero Task calls — context exhaustion produces truncated outputs or API errors, not a clean behavioral fallback to a smaller tool set.",,,,,2,,Agentic Architecture & Orchestration
"Your multi-agent research pipeline executes four subagents strictly in sequence: the coordinator invokes web_search (avg. 40s), waits for results, then invokes document_analysis (avg. 35s), waits, then synthesis (30s), then report_generator (25s), totaling approximately 130 seconds of wall-clock time per research task. Analysis confirms that web_search and document_analysis do not depend on each other's outputs — both can operate independently on the original research topic. What change most effectively reduces end-to-end latency?",multiple-choice,Combine web_search and document_analysis into a single data_gathering subagent to eliminate one Task invocation round-trip.,"merges specialized agents, sacrificing the depth of specialization without eliminating the sequential bottleneck — a combined agent still performs one task at a time.","Have the coordinator issue all four Task calls (web_search, document_analysis, synthesis, report_generator) in a single response so every subagent runs concurrently and the synthesis step has every input available simultaneously.","ignores the dependency chain — only the genuinely independent pair (web_search and document_analysis) can run concurrently; synthesis consumes their outputs and report_generator consumes synthesis's output, so fanning all four out in parallel would invoke synthesis and report_generator with no inputs to operate on.","Have the coordinator emit both the web_search Task call and the document_analysis Task call in a single coordinator response, then wait for both results before invoking synthesis.","The Claude Agent SDK supports parallel subagent execution by emitting multiple Task tool calls in a single coordinator response. When the coordinator issues both Task calls in one turn, the runtime executes them concurrently, collapsing the web_search + document_analysis phase from ~75s sequential to roughly ~40s parallel (bounded by the longer of the two). Synthesis and report_generator still run afterward but the parallelizable portion is eliminated.",Have web_search proactively retrieve document content so document_analysis can skip its own search phase and process web_search's results directly.,"introduces coupling between independent agents: web_search results are web pages, not the academic documents the document_analysis agent is designed to process, degrading analysis quality in exchange for marginal latency gains.",,,,,3,,Agentic Architecture & Orchestration
"Your research system produces a 15-page report on ""quantum computing enterprise adoption."" Product feedback shows users are acting on claims with wildly different evidentiary weight as if they were equally reliable. Tracing one example: the section on ""finance industry pilots"" is based on a single speculative blog post, while the section on ""cryptography vulnerabilities"" aggregates findings from 9 peer-reviewed studies and 2 NIST publications — yet both appear in the synthesis output as declarative statements in the same voice with no confidence indicator. The upstream research agents correctly reported source counts and types, but synthesis normalizes them away. Which synthesis-side change most directly fixes this reader-calibration problem?",multiple-choice,"Require the synthesis agent to emit a coverage annotation for each section summarizing source count, source type, and any single-source or unsupported claims, so downstream rendering and readers can calibrate confidence per section.","Coverage-gap annotations are the direct mechanism for preserving evidentiary variance through synthesis. Having the synthesis agent emit per-section metadata (source count, source types, and explicit """"single-source claim"""" or """"no direct source"""" flags) allows the downstream report and its readers to calibrate confidence without discarding any data.","Configure the synthesis agent to omit any section backed by fewer than three independent sources, since uncorroborated claims cannot be reliably synthesized into a user-facing report.","silently deletes legitimate findings that happen to be single-sourced, punishing the reader by removing information rather than labeling it.",Add a post-synthesis verification pass that re-invokes web_search for any section backed by a single source and blocks report generation until each section has at least three corroborating sources.,"conflates annotation with remediation: forcing three sources before rendering both adds latency and is unachievable for genuinely thin topic areas — the problem is that readers can't tell which sections are thin, not that thin sections must always be filled.","Instruct the coordinator to re-decompose the original research brief so every subtopic receives a proportional number of search queries, producing uniform source counts across sections before synthesis begins.","targets the upstream decomposition, but uniform subtopic assignment cannot force the world to contain equal evidence on each subtopic; the calibration problem must be solved at the output layer.",,,,,1,,Context Management & Reliability
"Your research system's synthesis agent sometimes discovers mid-summary that it needs additional document excerpts. To reduce coordinator round-trips, a developer adds ""Task"" to the synthesis agent's allowedTools and instructs it to ""spawn document_analysis subagents directly when you need additional excerpts."" After deploying, you observe three regressions: (1) the coordinator's execution logs no longer show all document_analysis invocations, (2) synthesis and the coordinator both independently spawn document_analysis on overlapping queries within the same research task, and (3) the coordinator's post-synthesis coverage-gap evaluation pass no longer fires because synthesis completes without returning to the coordinator. Which architectural principle has been violated, and what is the correct fix?",multiple-choice,Subagents need access to shared conversation history to avoid duplicate work; add a shared memory store that all subagents read before invoking tools so document_analysis can detect and skip redundant calls.,"adds a shared memory store, which is not an Agent SDK primitive and only treats the duplicate-work symptom.","The hub-and-spoke coordination pattern requires all delegation to flow through the coordinator; revoke synthesis's Task permission and have synthesis return structured ""additional excerpt needed"" indicators that the coordinator acts on before re-invoking synthesis.",s hub-and-spoke fix removes the architectural coupling problem structurally by revoking synthesis's spawn permission entirely.,Task tool schemas should include deduplication keys; configure document_analysis to reject invocations whose input hash matches a recent call from any other subagent in the same research task.,"adds deduplication keys inside the tool layer, which still leaves the coordinator blind and skips the coverage-gap pass — it only addresses symptom (2).","Have the synthesis agent prepend a fixed system-prompt directive to every Task invocation it makes (""log to coordinator before invoking; await ack""), relying on the prompt instruction to keep the coordinator informed.","relies on prompt-based coordination, which is advisory and probabilistic rather than architectural — under load or competing instructions the synthesis agent may still skip the log step, and the coordinator's observability, deduplication, and coverage-gap pass remain dependent on synthesis voluntarily complying. Only",,,,,2,,Agentic Architecture & Orchestration
"Your research coordinator receives the broad research brief ""emerging applications of machine learning in healthcare."" Developer A proposes decomposing the brief into 25 hyper-specific subtasks (e.g., ""ML in radiology screening,"" ""ML in oncology trial recruitment,"" ""ML in dermatology imaging,"" ""ML in ophthalmology"") and dispatching 25 parallel web_search Task calls. Developer B proposes a single broad Task: one web_search subagent queries the full brief. Production A/B tests show Developer A's approach takes 8× longer end-to-end and produces fragmented, overlapping findings with inconsistent depth, while Developer B's approach returns a high-level 3-paragraph survey that misses most specialty areas. Which decomposition strategy best balances coverage, depth, and coordination overhead?",multiple-choice,"Decompose into roughly 4–6 subtopics grouped at the clinical-function level (e.g., diagnostic imaging, clinical decision support, drug discovery, administrative automation, patient-facing applications), each a focused subtask for one web_search subagent.","Good decomposition lies between the extremes: subtasks should be narrow enough that each subagent produces focused, non-overlapping output, but broad enough to avoid unnecessary fragmentation and coordinator overhead. Grouping 25 specialties into ~5 clinical-function buckets gives each subagent a coherent scope, keeps cross-subagent overlap low, and matches the coordinator's capacity to synthesize findings from a handful of sources rather than 25.",Retain Developer A's 25-subtask decomposition but cap concurrency at 5 parallel Task calls via a runtime setting to reduce coordination overhead while preserving coverage breadth.,"preserves the fragmentation problem — capping concurrency fixes runtime cost but leaves the findings inconsistent and overlapping, because the underlying decomposition is still wrong.",Retain Developer B's single broad Task and compensate for shallow output by substantially increasing the synthesis agent's reasoning budget and the verbosity of its system prompt.,"ignores the root cause: synthesis cannot add detail the upstream subagent never gathered, and reasoning-budget increases target a different bottleneck.","Use a hybrid: dispatch Developer A's 25 subtasks as a first pass, then have the coordinator prune overlapping results by fingerprint before synthesis, merging near-duplicate findings automatically.",adds a pruning layer to work around a bad decomposition rather than fixing it; fingerprint-based merging of 25 overlapping result sets loses nuance and still pays the 8× latency cost.,,,,,1,,Agentic Architecture & Orchestration
"Your research system publishes a 12-page synthesis report on ""enterprise adoption of vector databases"" that blends findings from 14 underlying sources — 9 web articles, 3 academic papers, and 2 vendor whitepapers — into coherent paragraphs. Two weeks after publication, a domain reviewer flags one specific claim in paragraph 7 (""enterprise vector databases achieve sub-5ms p99 retrieval latency at 100M-vector scale"") as overstated and wants to identify which upstream source produced it. The synthesis agent currently receives structured findings from subagents that include source identifiers (URL, paper DOI, document ID) but emits pure prose with no per-claim attribution, so the reviewer cannot trace the claim without re-running the entire research pipeline. What change to the synthesis agent's output structure most directly enables this auditability without regenerating research?",multiple-choice,Require the synthesis agent to produce one paragraph per source so reviewers can trace any claim back by matching its paragraph to the source cited at the top of that paragraph.,"enforces a one-to-one paragraph-to-source structure that defeats the point of synthesis — most paragraphs correctly draw from multiple sources, and forcing single-source paragraphs either fragments the report or forces the agent to arbitrarily pick one source and discard the rest.","Add a post-synthesis verification agent that, given a flagged claim, re-runs the web_search and document_analysis subagents to identify which source produced it.","adds latency and API cost on every flagged claim and re-runs already-completed research, which is exactly what the question asks to avoid.",Configure the synthesis agent to embed full quoted passages from each source inline alongside the synthesized prose so reviewers can visually match claims to the original wording.,"inflates the report with raw quoted passages and shifts attribution to the reader's visual matching, which is unreliable for claims synthesized across multiple partial sources and does not produce a machine-readable trace.","Have the synthesis agent emit, alongside the prose, a claim-source mapping in which each atomic claim is tagged with the identifiers of the upstream sources that support it.","Claim-source mappings (provenance annotations) directly solve the auditability problem at the synthesis boundary: each atomic claim is paired with the source identifiers already present in the upstream findings, producing a machine-readable trace that reviewers can query without re-running research.",,,,,4,,Context Management & Reliability
